,gender,age,country,city,customer_segment,tenure_months,signup_channel,contract_type,monthly_logins,weekly_active_days,avg_session_time,features_used,usage_growth_rate,last_login_days_ago,monthly_fee,total_revenue,payment_method,payment_failures,discount_applied,price_increase_last_3m,support_tickets,avg_resolution_time,complaint_type,csat_score,escalations,email_open_rate,marketing_click_rate,nps_score,survey_response,referral_count,churn,account_id,customer_id
0,Male,68.0,Bangladesh,London,SME,22.0,Web,Monthly,26.0,7.0,11.76237198882082,5.0,0.06,7.0,30.0,660.0,PayPal,1.0,Yes,No,,13.354359704932143,Service,4.0,0.0,0.71,,27.0,Satisfied,1.0,0.0,A-bd4708,
1,Female,57.0,,Sydney,,9.0,Mobile,Monthly,7.0,5.0,26.84638960973137,1.0,-0.28,2.0,30.0,270.0,Card,1.0,No,yes,1.0,25.14008841258968,Billing,2.0,0.0,0.78,0.33,-19.0,Neutral,2.0,1.0,,
2,Male,24.0,,New York,SME,58.0,Web,Yearly,19.0,5.0,23.38006497233134,6.0,0.13,23.0,20.0,1160.0,Card,2.0,No,No,1.0,,Service,3.0,0.0,0.35,0.49,80.0,Neutral,1.0,0.0,,
3,Male,49.0,Australia,Dhaka,Individual,19.0,Mobile,Yearly,34.0,7.0,24.243136266362708,2.0,-0.17,24.0,30.0,570.0,Bank Transfer,0.0,Yes,No,3.0,26.420822304921717,Technical,5.0,1.0,0.83,0.15,100.0,Neutral,0.0,0.0,A-ac85cd,
4,Male,65.0,Bangladesh,Delhi,Individual,52.0,Web,Monthly,20.0,6.0,18.87232291164992,2.0,-0.16,2.0,50.0,2600.0,PayPal,0.0,No,No,0.0,26.674579176744228,Technical,4.0,0.0,0.65,0.44,21.0,Unsatisfied,1.0,0.0,A-66224b,
5,Female,36.0,India,London,Individual,,Mobile,Monthly,1.0,3.0,20.93823726581249,2.0,-0.15,20.0,,2700.0,Card,0.0,No,No,0.0,36.03839117141806,Technical,4.0,1.0,0.83,0.05,-40.0,Neutral,1.0,0.0,A-ac14bb,
6,Male,23.0,India,Toronto,,,Mobile,,21.0,4.0,17.544416359634237,6.0,0.23,13.0,20.0,1080.0,Card,0.0,No,No,1.0,36.89292842033735,Billing,4.0,0.0,0.75,0.46,-3.0,Neutral,1.0,0.0,A-1ac5e0,
7,Male,37.0, Bangladesh    ,Sydney,,7.0,Referral,yearly,17.0,7.0,26.18874573958236,8.0,0.22,7.0,20.0,140.0,Card,0.0,Yes, No    ,2.0,25.02413250808525,Technical,4.0,1.0,0.54,0.13,28.0,Satisfied,1.0,0.0, A-34ea2f    ,
8,Male,,India,Delhi,SME,15.0,Referral,Monthly,29.0,4.0,1.0,6.0,-0.1,13.0,30.0,450.0,PayPal,0.0,No,No,,32.46553558480596,Technical,2.0,0.0,0.85,0.13,-24.0,Satisfied,0.0,0.0,A-158f4e,
9,FEMALE,70.0,Bangladesh,Berlin,Individual,17.0,Mobile,monthly,,5.0,7.338150078144248,3.0,0.27,0.0,30.0,510.0,PayPal,0.0,No, No    ,1.0,42.98619185872065,Billing,4.0,0.0,,0.13,17.0,Neutral,1.0,0.0,A-7F6B86,
10,Male,60.0,,New York,Individual,46.0,Referral,Yearly,31.0,6.0,4.6509676714748736,,0.26,27.0,30.0,1380.0,Bank Transfer,1.0,No,,2.0,11.368769460848384,Service,5.0,0.0,0.41,0.18,18.0,Neutral,1.0,,A-e40f45,
11,Male,54.0,Bangladesh,Dhaka,Enterprise,14.0,Web,Monthly,24.0,2.0,10.223439800416369,6.0,0.04,9.0,20.0,280.0,Card,,No,Yes,2.0,49.72450588691105,Service,4.0,0.0,0.3,0.17,77.0,,0.0,0.0,A-7da956,
12,male,65.0, Bangladesh    ,London,INDIVIDUAL,41.0,Web,,28.0,4.0,,5.0,0.34,0.0,50.0,2050.0,PayPal,1.0,No,no,1.0,24.467867747682483,,2.0,,0.36,0.26,19.0,Satisfied,1.0,0.0,A-038089,
13,Male,24.0,Germany,Dhaka,Individual,,,Monthly,,6.0,13.991212386315038,4.0,0.22,4.0,30.0,1440.0,Card,1.0,,Yes,,26.91982224732825,Service,3.0,0.0,0.55,0.26,-16.0,Neutral,0.0,0.0,A-7a0d69,
14,Female,22.0,Germany,Delhi,Individual,2.0,Referral,Yearly,32.0,7.0,9.025836761320804,9.0,0.0,5.0,30.0,60.0,Card,2.0,No,No,2.0,30.95588452025188,,3.0,0.0,0.21,,55.0,,1.0,0.0,A-ee42db,
15,Male,28.0,USA,Toronto,Enterprise,14.0,Mobile,Monthly,14.0,2.0,16.185839364714774,4.0,0.11,20.0,20.0,280.0,Card,1.0,No,No,0.0,42.7623883351522,Technical,4.0,0.0,0.71,0.36,-30.0,Satisfied,1.0,0.0,A-c58f49,
16,Female,32.0,Australia,New York,Individual,4.0,Web,Monthly,1.0,7.0,17.421436539865446,7.0,-0.08,12.0,30.0,120.0,Bank Transfer,0.0,Yes,No,1.0,,,3.0,0.0,0.32,0.13,3.0,Unsatisfied,0.0,1.0,A-671f31,
17,Female,20.0,Australia,Dhaka,Individual,3.0,Referral,Yearly,9.0,0.0,18.70103140272973,7.0,-0.03,0.0,70.0,210.0,Bank Transfer,1.0,Yes,No,,41.268949169905504,Technical,3.0,0.0,0.61,0.47,60.0,Satisfied,2.0,0.0,A-dfbd31,
18,,,Germany,,Individual,3.0,Web,Yearly,21.0,7.0,20.333383249273236,7.0,0.0,0.0,30.0,90.0,PayPal,0.0,Yes,Yes,1.0,40.22396316663823,Service,4.0,0.0,,0.41,23.0,Satisfied,2.0,0.0,A-157070,
19,Male,40.0,UK,Sydney,Individual,11.0,Web,Monthly,22.0,1.0,10.63221144303896,2.0,-0.11,0.0,10.0,110.0,,0.0,No,No,4.0,15.011731251479317,Technical,3.0,1.0,0.21,0.2,61.0,Neutral,2.0,0.0,A-1d5444,
20,Female,70.0,UK,London,Individual,,Mobile,Quarterly,21.0,7.0,22.010395319376588,6.0,0.05,0.0,30.0,150.0,PayPal,1.0,No,,0.0,32.14156915876213,,3.0,0.0,0.32,0.3,-12.0,,1.0,0.0,A-104f1a,
21,Male,54.0,USA,London,SME,48.0,Web,Monthly,32.0,6.0,14.493707850010871,2.0,-0.28,3.0,10.0,480.0,Bank Transfer,2.0,,Yes,0.0,18.325894230925428,,5.0,2.0,0.81,0.36,25.0,Satisfied,1.0,0.0,A-91e948,
22,Female,26.0,UK,Sydney,SME,55.0,Web,Quarterly,21.0,5.0,20.270804267021244,3.0,,2.0,70.0,3850.0,Bank Transfer,0.0,Yes,No,2.0,22.11248788096376,Technical,4.0,,0.85,0.41,22.0,Satisfied,0.0,0.0,,
23,Female,32.0, UK    ,Toronto,INDIVIDUAL,29.0,Referral,Monthly,23.0,2.0,10.579038891079623,3.0,-0.04,16.0,30.0,,Card,1.0,No,No,0.0,7.510576743122932,Technical,4.0,0.0,,0.14,18.0,Satisfied,0.0,0.0,A-d40bf7,
24,Female,,UK,Dhaka,SME,28.0,Web,Monthly,29.0,1.0,27.014611022290183,3.0,0.13,11.0,50.0,1400.0,PayPal,1.0,No,No,1.0,22.870343209463652,Billing,2.0,0.0,0.57,0.44,-3.0,Satisfied,0.0,0.0,A-d27f50,
25,Female,46.0,Canada,New York,SME,23.0,Referral,Quarterly,3.0,2.0,18.530485715499985,5.0,-0.05,1.0,10.0,230.0,Card,,No,No,3.0,28.12195843508985,Billing,3.0,1.0,0.83,0.5,44.0,Neutral,2.0,0.0,A-5c046d,
26,,23.0,USA,Toronto, Enterprise    ,30.0,Referral, Quarterly    ,27.0,6.0,15.788155628849376,6.0,0.06,8.0,,600.0,Bank Transfer,1.0,Yes,NO,,13.018917488324975,,1.0,,0.67,0.28,4.0,Neutral,1.0,0.0,,
27,Female,34.0,Germany,New York,Individual,23.0,Referral,Monthly,33.0,2.0,6.510632970876996,5.0,,28.0,30.0,690.0,PayPal,0.0,No,,0.0,28.82301279621892,Service,3.0,0.0,0.31,0.38,68.0,Unsatisfied,1.0,0.0,A-4ae22a,
28,Female,43.0,UK,Delhi,Individual,,Referral,Monthly,27.0,6.0,22.60695942001968,4.0,-0.14,8.0,10.0,510.0,Card,1.0,,No,0.0,29.16801122584152,Billing,4.0,1.0,0.23,0.04,,Satisfied,1.0,0.0,A-e351e1,
29,Female,38.0,India,Sydney,SME,41.0,,Yearly,23.0,3.0,7.405863696755413,4.0,0.04,6.0,,410.0,Card,0.0,Yes,No,1.0,27.26873149783884,,,1.0,0.68,0.37,38.0,,0.0,0.0,A-18793f,
30,Male,25.0,Bangladesh,Berlin,Individual,22.0,Mobile,Monthly,28.0,7.0,30.52033151327268,5.0,0.03,16.0,70.0,1540.0,PayPal,0.0,No,No,1.0,24.020495392937654,,5.0,0.0,0.58,0.48,-65.0,Neutral,1.0,0.0,A-5b051a,
31,Male,,Canada,New York,Individual,43.0,Referral,Quarterly,0.0,2.0,20.12920706749512,6.0,0.16,17.0,10.0,430.0,Card,1.0,No,No,1.0,8.215345852025811,Technical,,1.0,0.85,0.37,1.0,Satisfied,2.0,0.0,A-5a215a,
32,Female,74.0,UK,London,SME,12.0,Web,Monthly,18.0,4.0,5.868476305884711,,0.24,4.0,30.0,,PayPal,0.0,No,,1.0,19.83159490120358,Billing,4.0,1.0,0.11,0.17,-25.0,,1.0,0.0,A-592832,
