,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,subscription_id,account_id
0,2023-12-23,,Enterprise,14.0,,33432.0,False,False,False,True,monthly,True,,
1,2024-06-11,,Pro,17.0,833.0,9996.0,False,False,False,False,monthly,True,,
2,2024-11-25,,Enterprise,62.0,0.0,0.0,True,True,False,False,annual,False,,
3,2024-11-23,,Enterprise,5.0,995.0,11940.0,False,,False,True,Monthly,True,,
4,2024-01-10,,Enterprise,27.0,5373.0,64476.0,False,False,False,,monthly,True,,
5,2024-08-13,,Pro,15.0,735.0,8820.0,False,False,False,False,monthly,True,,
6,2023-12-30,,Enterprise,4.0,796.0,9552.0,False,False,False,False,annual,True,,
7,2024-12-23,,Basic,16.0,304.0,3648.0,False,,False,False,annual,,,
8,2024-11-27,,Enterprise,,4577.0,54924.0,False,False,False,False,Annual,False,,
9,2024-10-27,,Pro,22.0,1078.0,12936.0,False,False,False,False,annual,False,,
10,2024-02-06,,Pro,27.0,1323.0,15876.0,False,False,False,False,annual,True,,
11,2024-12-25,,,22.0,0.0,0.0,True,False,,False,,True,,
12,2023-09-17,,Pro,26.0,1274.0,15288.0,False,True,True,False,monthly,,,
13,2024-07-17,,Basic,,741.0,8892.0,False,False,False,False,annual,True,,
14,2024-10-12,,Enterprise,88.0,0.0,0.0,True,False,False,False,MONTHLY,True,,
15,2024-09-18,,Pro,45.0,2205.0,26460.0,False,False,False,False,monthly,True,,
16,2023-07-21,2024-08-03,Pro,34.0,0.0,0.0,,False,False,True,monthly,True,,
17,2024-06-06,,Basic,8.0,152.0,1824.0,False,False,False,True,annual,False,,
18,2024-04-25,,Basic,5.0,95.0,1140.0,False,False,False,False,monthly,True,,
19,2024-03-06,,,8.0,392.0,4704.0,False,False,False,False,monthly,True,,
20,2024-03-31,,Pro,,0.0,0.0,True,False,False,False,monthly,True,,
21,2024-12-04,2024-12-27,Basic,61.0,,13908.0,False,False,False,True,monthly,True,,
22,2024-11-30,,Basic,31.0,589.0,7068.0,False,False,False,False, monthly    ,True,,
23,2024-02-09,,Enterprise,97.0,,231636.0,False,False,False,,,True,,
24,2024-02-25,,Pro,17.0,833.0,9996.0,False,False,False,False,,True,,
25,2024-10-07,,Pro,8.0,392.0,4704.0,False,False,False,False,,False,,
26,2024-08-15,,Pro,16.0,784.0,9408.0,False,False,False,False,annual,True,,
27,2024-11-03,,Pro,50.0,2450.0,29400.0,False,False,False,False,monthly,False,,
28,2024-08-01,,,11.0,539.0,6468.0,False,False,False,False,monthly,False,,
29,2024-08-22,2024-09-28,Enterprise,31.0,6169.0,74028.0,False,False,False,True,monthly,True,,
30,2024-06-11,,,28.0,5572.0,66864.0,,False,False,False,annual,False,,
31,2023-06-16,,,51.0,969.0,11628.0,False,False,False,False,annual,True,,
32,2024-06-28,,Enterprise,,0.0,0.0,True,True,,False,monthly,True,,
33,,,Enterprise,65.0,12935.0,155220.0,False,False,False,False,annual,True,,
34,2024-12-28,,,29.0,0.0,,True,,False,False,annual,True,,
35,2024-06-21,,Enterprise,92.0,0.0,0.0,,False,False,False,annual,False,,
36,2024-02-12,,Enterprise,16.0,3184.0,38208.0,False,False,False,False,ANNUAL,True,,
37,2024-09-07,,Enterprise,9.0,,0.0,,True,False,False,monthly,False,,
38,2024-09-18,,Basic,33.0,627.0,7524.0,False,False,False,False,Monthly,True,,
39,2023-05-11,,Pro,6.0,294.0,3528.0,False,False,False,False,monthly,True,,
40,2024-10-19,,Basic,35.0,665.0,7980.0,False,True,False,False,,True,,
