gender,age,country,city,customer_segment,tenure_months,signup_channel,contract_type,monthly_logins,weekly_active_days,avg_session_time,features_used,usage_growth_rate,last_login_days_ago,monthly_fee,total_revenue,payment_method,payment_failures,discount_applied,price_increase_last_3m,support_tickets,avg_resolution_time,complaint_type,csat_score,escalations,email_open_rate,marketing_click_rate,nps_score,survey_response,referral_count,churn,customer_id
Male,68.0,Bangladesh,London,,22.0,Web,Monthly,26.0,7.0,11.76237198882082,5.0,0.06,7.0,30.0,660.0,PayPal,1.0,Yes,No,4.0,,Service,4.0,0.0,0.71,0.4,27.0,Satisfied,1.0,,CUST_00001
Female,57.0,Canada,Sydney,Individual,9.0,Mobile,Monthly,7.0,5.0,26.84638960973137,1.0,-0.28,2.0,30.0,270.0,Card,1.0,No,Yes,,25.14008841258968,Billing,2.0,0.0,,0.33,-19.0,Neutral,2.0,1.0,CUST_00002
,24.0,Germany,New York,SME,58.0,Web,Yearly,19.0,5.0,,6.0,0.13,23.0,20.0,1160.0,Card,2.0,No,No,1.0,27.57292845215133,Service,3.0,0.0,0.35,0.49,80.0,Neutral,1.0,0.0,CUST_00003
Male,49.0,Australia,Dhaka,Individual,19.0,Mobile,Yearly,34.0,7.0,24.243136266362708,2.0,-0.17,24.0,30.0,570.0,Bank Transfer,0.0,Yes,No,3.0,26.420822304921717,,5.0,1.0,0.83,0.15,100.0,Neutral,0.0,0.0,CUST_00004
Male,65.0,Bangladesh,Delhi,Individual,52.0,Web,Monthly,20.0,6.0,18.87232291164992,2.0,-0.16,2.0,50.0,2600.0,PayPal,0.0,No,No,0.0,26.674579176744228,Technical,,0.0,,0.44,21.0,Unsatisfied,1.0,0.0,CUST_00005
Female,36.0,India,London,Individual,54.0,Mobile,Monthly,1.0,3.0,20.93823726581249,2.0,-0.15,20.0,50.0,2700.0,Card,0.0,No,No,0.0,36.03839117141806,Technical,4.0,1.0,0.83,0.05,-40.0,Neutral,1.0,0.0,CUST_00006
MALE,23.0,India,toronto,SME,54.0,Mobile,monthly,21.0,4.0,17.544416359634237,6.0,0.23,13.0,20.0,1080.0,card,0.0,No,No,1.0,36.89292842033735,BILLING,4.0,0.0,0.75,0.46,-3.0,Neutral,1.0,0.0,CUST_00007
Male,37.0,Bangladesh,Sydney,Individual,7.0,Referral,Yearly,17.0,7.0,26.18874573958236,8.0,0.22,7.0,,140.0,,0.0,Yes,No,2.0,25.02413250808525,Technical,,1.0,0.54,0.13,28.0,Satisfied,1.0,0.0,CUST_00008
Male,44.0,India,Delhi,SME,15.0,Referral,Monthly,29.0,4.0,1.0,,-0.1,13.0,30.0,450.0,PayPal,0.0,No,,1.0,32.46553558480596,Technical,2.0,0.0,0.85,0.13,-24.0,Satisfied,,0.0,CUST_00009
Female,70.0,Bangladesh,Berlin,,17.0,Mobile,Monthly,18.0,5.0,7.338150078144248,3.0,0.27,0.0,30.0,510.0,PayPal,,No,No,1.0,42.98619185872065,Billing,4.0,0.0,,0.13,17.0,Neutral,1.0,0.0,CUST_00010
Male,60.0,Australia,New York,Individual,46.0,Referral,Yearly,31.0,,4.6509676714748736,7.0,,27.0,30.0,1380.0,Bank Transfer,1.0,No,No,2.0,11.368769460848384,Service,5.0,0.0,,0.18,18.0,Neutral,1.0,0.0,CUST_00011
Male,54.0,Bangladesh,Dhaka,Enterprise,14.0,,Monthly,24.0,2.0,10.223439800416369,6.0,0.04,9.0,,280.0,Card,0.0,,Yes,,49.72450588691105,Service,4.0,0.0,0.3,0.17,77.0,Satisfied,0.0,0.0,CUST_00012
Male,65.0,Bangladesh,,Individual,41.0,Web,Monthly,28.0,4.0,15.369837667741278,5.0,0.34,0.0,,2050.0,,1.0,No,No,1.0,24.467867747682483,,2.0,0.0,0.36,0.26,19.0,Satisfied,1.0,0.0,CUST_00013
