,usage_id,subscription_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature
0,U-1C6C24,S-0fcf7d,2023-07-27,feature_20,9.0,5004.0,,False
1,U-f07cb8,S-c25263,2023-08-07,feature_5,9.0,369.0,,False
2,U-096807,S-f29e7f,2023-12-07,feature_3,9.0,,0.0,False
3,U-6b1580,S-be655e,2024-07-28,,5.0,2085.0,0.0,False
4,U-720a29,S-f9b1d0,,feature_12,12.0,900.0,0.0,False
5,U-c5692d,S-e958ba,2023-10-31,feature_14,11.0,4103.0,0.0,False
6,U-7078db,S-0c9fdd,2023-09-20,feature_34,8.0,2016.0,2.0,False
7,U-a60033,S-4e4ab7,2023-06-05,feature_27,10.0,5470.0,0.0,False
8,U-5cd930,S-a3a1c1,2024-02-20,,9.0,5067.0,1.0,False
9,U-ebb375,S-9e450b,2023-02-09,,6.0,2778.0,0.0,False
10,U-a7c89a,S-3673f2,2024-08-25,feature_36,9.0,2061.0,0.0,
11,U-779058,,2023-11-03,feature_35,10.0,5200.0,0.0,True
12,U-f65bba,S-3dc46b,2024-07-14,feature_20,5.0,930.0,1.0,False
13,U-4de1d3,S-e2799b,2023-08-22,feature_25,,2480.0,0.0,False
14,U-935818,S-9ce22d,2023-05-22,feature_35,17.0,901.0,0.0,False
15,U-0286e4,,2023-12-09,feature_4,10.0,4610.0,0.0,False
16,U-99f042,S-5272ff,2023-10-11,feature_4,12.0,4884.0,2.0,False
17,U-a66f10,,2024-04-04,feature_40,14.0,4872.0,0.0,False
18,U-805be4,S-c23126,2023-03-23,feature_24,5.0,2055.0,3.0,False
19,,S-813cdc,2023-07-30,feature_37,5.0,960.0,0.0,False
20,U-77404D,S-6c969d,2024-08-31,feature_3,9.0,,0.0,False
21,U-80c1c1,S-dacc80,2023-11-29,feature_7,9.0,432.0,0.0,False
22,U-25b56c,,2024-10-06,feature_20,7.0,231.0,0.0,False
23,U-184e0c,S-fcb954,,feature_15,8.0,856.0,0.0,False
24,U-97d46f,,2023-04-13,feature_30,10.0,5240.0,0.0,False
25,U-782016,S-1b4693,2023-04-08,feature_39,8.0,,1.0,
26,U-d7cb11,S-7d9605,2023-12-03,feature_19,13.0,5980.0,0.0,False
27,U-0ae9d5,S-6ce794,2023-02-25,feature_12,8.0,1416.0,1.0,
28,U-0aff2c,S-041624,2024-02-20,feature_40,9.0,3456.0,2.0,False
29,U-093baa,S-7dab19,2023-11-19,feature_18,6.0,540.0,2.0,False
30,U-7fbb0f,S-b3071c,2023-01-01,feature_6,11.0,1573.0,0.0,False
31,U-e5999c,S-de9b4b,2024-03-24,feature_21,9.0,5256.0,0.0,False
32,U-a5433e,S-f0081e,2023-03-02,feature_1,14.0,2324.0,1.0,False
33,,S-0c47cb,2024-12-17,feature_4,14.0,1190.0,0.0,
34,U-4ccaa4,,2023-04-24,feature_22,6.0,1344.0,0.0,False
35,U-492e99,S-567afa,2023-12-22,feature_38,9.0,2430.0,0.0,False
36,U-ed08bd,S-6c7bd8,2024-10-10,feature_40,7.0,2464.0,0.0,False
37,u-ba2bf3,S-8b52b5,2024-03-24,feature_19,,441.0,0.0,False
38,U-4978ea,S-3947da,2023-04-13,feature_29,5.0,1000.0,1.0,True
39,U-7f9bc8,S-1ad713,2024-04-19,feature_39,14.0,7952.0,0.0,True
40,U-624d96,S-049328,2023-12-29,feature_38,7.0,2653.0,0.0,True
41,U-d652f1,S-64acb8,,feature_5,10.0,540.0,0.0,False
42,U-e860b8,S-6c969d,2024-02-07,feature_19,,1582.0,0.0,
43,u-804bf8,S-8c9649, 2023-01-13    ,feature_14,5.0,2985.0,0.0,False
44,U-d2e9b7,S-c2168a,2023-01-04,feature_18,6.0,2166.0,1.0,False
45,U-9a5f52,S-0283b5,2023-02-02,feature_14,6.0,2658.0,0.0,False
46,U-a6a7c7,,2024-06-02,feature_40,9.0,2664.0,1.0,False
47,U-3e5e83,S-a37653,2023-03-15,,14.0,4368.0,0.0,False
48,U-708d27,S-ec690c,2023-08-15,feature_22,8.0,1464.0,2.0,True
49,U-0ABD90,S-de7a48,2024-01-03,,7.0,1778.0,0.0,False
50,U-7d32fc,S-e7e4bd,2024-12-03,feature_37,8.0,2824.0,0.0,False
51,U-b095d6,S-31428b,2023-02-16,feature_24,6.0,2412.0,0.0,True
52,U-ba50ee,S-51924b,2023-02-04,feature_4,12.0,5064.0,,False
53,u-aac036,S-10fc7d,2024-08-06,feature_37,12.0,216.0,0.0,
54,U-9df047,S-eea643,2024-02-12,feature_37,12.0,5316.0,0.0,False
55,U-029a51,S-8c118d,2023-03-02,feature_5,6.0,3384.0,1.0,False
56,U-680b9d,S-e702a4,2024-03-25,feature_31,11.0,3014.0,0.0,False
57, U-1314b8    ,S-ef2a21,2024-12-13,feature_16,6.0,2970.0,3.0,False
58,U-46c99c,S-01bbff,2023-10-01,feature_9,,3192.0,0.0,False
59,U-e580fe,S-3673f2,2024-08-06,feature_19,9.0,2871.0,0.0,False
60,U-50e5b9,S-c1f8e1,2024-12-16,feature_24,10.0,2350.0,1.0,False
61,U-83a6c5,S-431c03,2023-01-03,feature_26,13.0,6591.0,0.0,False
62,U-545d0c,S-58ab69,2024-01-22,feature_11,13.0,4511.0,0.0,False
63,U-275562,S-3bdedd,2023-01-09,feature_14,7.0,1183.0,0.0,False
64,U-B232F4,S-f3ff06,2023-01-12,feature_5,8.0,4080.0,0.0,False
65,U-892c50,S-53361d,2024-01-24,feature_21,8.0,2128.0,3.0,False
66,U-700B4B,S-44c5dd,2024-02-05,feature_12,6.0,1782.0,2.0,False
67,U-385a00,S-b147b9,2024-04-15,feature_35,,3445.0,2.0,False
68,,S-8e5fd4,,feature_4,,2352.0,3.0,False
69,,S-69fb37,2024-12-20,feature_10,6.0,1374.0,0.0,False
70,U-0b0bbc,S-d1b062,2023-11-12,feature_22,8.0,816.0,0.0,False
71,,S-e7b281,2023-01-16,feature_3,19.0,11210.0,0.0,False
72,U-203929,S-463525,2024-10-20,feature_27,16.0,832.0,1.0,False
73,U-9c486f,S-94b283,2023-09-08,feature_1,16.0,8928.0,0.0,True
74,U-03f160,S-00bb84,2024-02-28,feature_33,9.0,2376.0,0.0,
75,U-c08e68,S-0c63de,2023-01-15,feature_10,10.0,1240.0,0.0,False
76,U-a446ec,S-9dcef8,2024-01-29,feature_26,10.0,4590.0,0.0,
77,U-a83ad0,,2023-05-20,feature_40,15.0,165.0,1.0,False
78,u-fd7a68,S-cd4d67,,feature_22,,5664.0,0.0,True
79,U-477ca5,S-3ea3af,2024-07-30,feature_36,,6171.0,0.0,False
80,U-88007d,S-7cf7c6,2023-11-28,feature_37,9.0,1755.0,0.0,False
81,U-d12cc7,S-3eb206,2023-06-25,feature_38,11.0,4818.0,0.0,False
82,,S-a801d1,2023-06-21,feature_26,12.0,624.0,1.0,False
83,U-f82b52,S-70d15d,2023-09-04,feature_27,10.0,1880.0,0.0,False
84,U-e01529,S-2923fc,2024-12-11,feature_10,9.0,4257.0,0.0,False
85,U-4abe39,S-04fd47,,feature_34,9.0,,0.0,False
86,U-92a37d,,2023-09-19,feature_30,3.0,1437.0,0.0,True
87,U-e5b4b3,S-c2f293,2024-12-12,,10.0,1340.0,0.0,False
88,,S-24796e,,feature_8,12.0,1176.0,0.0,False
89,U-9e1762,,2023-06-15,feature_15,14.0,7952.0,,
90,U-14bb04,S-bf806d, 2023-07-05    ,feature_13,8.0,3568.0,0.0,False
91,U-291919,S-f366b3,2023-04-12,feature_39,8.0,1440.0,,False
92,U-f7842e,S-65071f,2023-12-28,feature_34,10.0,1320.0,2.0,False
93,U-c5d688,S-9eeb7e,2024-08-09,feature_32,9.0,81.0,0.0,False
94,U-7c5c2b,S-4e00a0,2024-08-02,feature_7,11.0,4939.0,0.0,False
95,U-c2633c,S-dbd6b9,2023-04-25,feature_33,10.0,4520.0,0.0,False
96,U-912828,S-4793bb,2024-07-02,feature_24,15.0,5175.0,0.0,False
97,U-031f15,S-008f3c,2024-07-17,feature_6,6.0,1950.0,0.0,True
98,U-1662fe,S-8b64df,2024-04-19,feature_31,12.0,2112.0,1.0,False
99,U-3ddaf4,S-195f9b,2024-01-26,,13.0,,2.0,False
100,U-ef63a1,S-0921a1,2024-12-26,feature_4,12.0,4224.0,,False
101,U-bc70f2,S-34b845,2024-05-05,feature_35,10.0,2260.0,2.0,False
