usage_id,subscription_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature
U-1c6c24,,2023-07-27,feature_20,9.0,5004.0,0.0,False
U-f07cb8,,2023-08-07,feature_5,9.0,369.0,,False
,S-f29e7f,2023-12-07,feature_3,9.0,1458.0,0.0,False
U-6b1580,S-be655e,2024-07-28,feature_40,5.0,2085.0,0.0,False
U-720a29,S-F9B1D0,2024-12-02,feature_12,12.0,900.0,0.0,False
U-c5692d,S-e958ba,2023-10-31,feature_14,11.0,4103.0,0.0,False
U-7078db,S-0c9fdd,2023-09-20,feature_34,8.0,2016.0,2.0,False
U-a60033,S-4e4ab7,2023-06-05,feature_27,10.0,5470.0,0.0,False
U-5cd930,S-a3a1c1,2024-02-20,feature_18,9.0,5067.0,1.0,False
U-ebb375,S-9E450B, 2023-02-09    ,feature_28,6.0,2778.0,0.0,False
U-a7c89a,S-3673f2,,feature_36,9.0,2061.0,0.0,False
U-779058,S-afed2d,2023-11-03,feature_35,10.0,5200.0,0.0,True
U-f65bba,S-3dc46b,2024-07-14,feature_20,,930.0,1.0,False
U-4de1d3,S-e2799b,2023-08-22,feature_25,8.0,2480.0,0.0,False
U-935818,S-9ce22d,2023-05-22,,17.0,901.0,0.0,False
U-0286e4,S-4dae4f,2023-12-09,feature_4,,4610.0,0.0,False
U-99f042,S-5272ff,2023-10-11,feature_4,12.0,4884.0,2.0,False
U-a66f10,S-E3DFF3, 2024-04-04    ,,14.0,4872.0,0.0,False
U-805be4,S-c23126,2023-03-23,feature_24,5.0,2055.0,3.0,False
U-138675,S-813cdc,2023-07-30,feature_37,5.0,960.0,0.0,False
,S-6c969d,,feature_3,9.0,5022.0,0.0,False
U-80c1c1,S-dacc80,2023-11-29,feature_7,9.0,432.0,0.0,False
U-25b56c, S-810c27    ,2024-10-06,feature_20,7.0,231.0,0.0,False
U-184e0c,S-fcb954,2023-04-15,feature_15,8.0,856.0,0.0,False
U-97d46f,S-d111f5,2023-04-13,feature_30,10.0,5240.0,0.0,False
,S-1b4693,,feature_39,8.0,192.0,1.0,False
U-d7cb11,S-7d9605,,feature_19,13.0,5980.0,0.0,False
U-0ae9d5,S-6ce794,2023-02-25,feature_12,8.0,1416.0,1.0,False
U-0aff2c,S-041624,2024-02-20,feature_40,9.0,3456.0,2.0,False
U-093baa,S-7dab19,2023-11-19,feature_18,6.0,540.0,2.0,False
U-7fbb0f,S-b3071c,,feature_6,11.0,1573.0,0.0,False
U-e5999c,,2024-03-24,feature_21,9.0,5256.0,0.0,False
U-a5433e,S-f0081e,2023-03-02,feature_1,14.0,2324.0,1.0,False
U-54d795,s-0c47cb,,,14.0,1190.0,0.0,True
U-4ccaa4,S-5d5a8d,2023-04-24,feature_22,6.0,1344.0,0.0,False
U-492e99,S-567afa,2023-12-22,feature_38,9.0,2430.0,,False
U-ed08bd,S-6c7bd8,2024-10-10,feature_40,7.0,2464.0,0.0,False
U-ba2bf3,S-8b52b5,2024-03-24,feature_19,9.0,441.0,0.0,False
U-4978ea,S-3947da,2023-04-13,feature_29,5.0,1000.0,1.0,True
U-7f9bc8,S-1ad713,2024-04-19,feature_39,14.0,7952.0,,True
U-624d96,S-049328,2023-12-29,feature_38,7.0,2653.0,0.0,True
U-d652f1,S-64acb8,,feature_5,10.0,540.0,0.0,False
U-e860b8,S-6c969d,2024-02-07,feature_19,7.0,1582.0,0.0,True
U-804bf8,S-8c9649,2023-01-13,feature_14,5.0,2985.0,0.0,False
U-d2e9b7,S-c2168a,2023-01-04,feature_18,6.0,,1.0,False
U-9a5f52,S-0283b5,2023-02-02,feature_14,,2658.0,0.0,False
U-a6a7c7,S-1bf267,2024-06-02,feature_40,9.0,2664.0,1.0,False
U-3e5e83,S-a37653,2023-03-15,feature_35,14.0,4368.0,,False
U-708d27,S-ec690c,2023-08-15,feature_22,,1464.0,2.0,True
U-0abd90,S-de7a48,2024-01-03,feature_23,7.0,1778.0,0.0,False
U-7d32fc,S-e7e4bd,2024-12-03,feature_37,8.0,2824.0,0.0,False
U-b095d6,S-31428b,2023-02-16,feature_24,6.0,2412.0,0.0,True
U-ba50ee,,,feature_4,12.0,5064.0,0.0,False
U-aac036,S-10fc7d,,feature_37,12.0,216.0,,False
U-9df047,S-eea643,2024-02-12,feature_37,12.0,5316.0,0.0,False
U-029a51,S-8c118d,2023-03-02,feature_5,6.0,,1.0,False
U-680b9d,S-e702a4,2024-03-25,feature_31,11.0,,0.0,False
U-1314b8,S-ef2a21,2024-12-13,feature_16,6.0,2970.0,3.0,False
U-46c99c,S-01bbff,2023-10-01,feature_9,14.0,3192.0,0.0,False
U-e580fe,S-3673f2,2024-08-06,feature_19,9.0,2871.0,,False
U-50e5b9,S-c1f8e1,2024-12-16,feature_24,10.0,,1.0,False
U-83a6c5,S-431c03,2023-01-03,feature_26,13.0,6591.0,0.0,False
U-545d0c,S-58ab69,2024-01-22,feature_11,13.0,4511.0,0.0,False
U-275562,S-3bdedd,2023-01-09,feature_14,7.0,1183.0,0.0,False
U-b232f4,S-f3ff06,2023-01-12,feature_5,8.0,4080.0,,False
U-892c50,S-53361d,2024-01-24,feature_21,8.0,2128.0,3.0,False
U-700b4b,S-44c5dd,2024-02-05,,6.0,1782.0,2.0,False
U-385a00,S-b147b9,2024-04-15,feature_35,13.0,3445.0,2.0,False
U-424739,S-8e5fd4,2024-08-19,feature_4,12.0,2352.0,3.0,False
U-9ee469,S-69fb37,2024-12-20,feature_10,6.0,1374.0,0.0,False
U-0b0bbc,S-d1b062,2023-11-12,feature_22,8.0,816.0,0.0,False
U-b07117,S-E7B281, 2023-01-16    ,feature_3,19.0,,0.0,False
U-203929,S-463525,2024-10-20,feature_27,,832.0,1.0,False
,,,feature_1,,8928.0,,True
U-03f160,S-00bb84,2024-02-28,feature_33,9.0,2376.0,0.0,False
U-c08e68,S-0c63de,,feature_10,10.0,1240.0,0.0,False
U-a446ec,S-9dcef8,2024-01-29,feature_26,,4590.0,,True
U-a83ad0,,2023-05-20,feature_40,15.0,165.0,1.0,False
U-fd7a68,S-cd4d67,2024-11-25,feature_22,12.0,5664.0,0.0,True
U-477ca5,S-3ea3af,2024-07-30,feature_36,11.0,6171.0,0.0,False
U-88007d,S-7cf7c6,2023-11-28,feature_37,9.0,1755.0,,False
U-d12cc7,S-3eb206,2023-06-25,feature_38,11.0,4818.0,0.0,False
U-d26026,S-a801d1,2023-06-21,feature_26,12.0,624.0,1.0,False
U-f82b52,S-70d15d,2023-09-04,feature_27,10.0,,0.0,False
U-e01529,S-2923fc,2024-12-11,feature_10,9.0,4257.0,0.0,False
,S-04fd47,2023-12-29,feature_34,9.0,1764.0,0.0,False
U-92a37d,S-f72b84,2023-09-19,feature_30,3.0,1437.0,0.0,True
U-e5b4b3,S-c2f293,2024-12-12,feature_39,10.0,1340.0,0.0,False
U-6043b0,S-24796e,,feature_8,12.0,1176.0,0.0,False
U-9e1762,,2023-06-15,feature_15,14.0,7952.0,0.0,False
U-14bb04,,2023-07-05,feature_13,8.0,3568.0,0.0,False
U-291919,S-f366b3,2023-04-12,feature_39,8.0,1440.0,,False
U-f7842e,S-65071f,2023-12-28,feature_34,10.0,1320.0,2.0,False
U-c5d688,S-9eeb7e,2024-08-09,feature_32,9.0,81.0,0.0,False
U-7c5c2b,S-4e00a0,2024-08-02,feature_7,11.0,4939.0,0.0,False
U-c2633c,S-dbd6b9,2023-04-25,feature_33,10.0,4520.0,,False
U-912828,S-4793bb,2024-07-02,feature_24,15.0,5175.0,,False
U-031f15,S-008f3c,2024-07-17,feature_6,6.0,1950.0,0.0,True
U-1662fe,S-8B64DF,2024-04-19,,12.0,2112.0,1.0,False
U-3ddaf4,,2024-01-26,feature_36,13.0,6942.0,2.0,False
U-ef63a1,S-0921A1,,feature_4,12.0,4224.0,0.0,False
U-bc70f2,S-34b845,2024-05-05,feature_35,10.0,2260.0,2.0,False
U-a92688,S-70af60,2024-07-14,feature_25,5.0,815.0,1.0,False
U-28d115,S-38c5fd,2024-08-18,feature_31,9.0,1629.0,0.0,False
U-9ec98a,S-8a6579,2023-10-10,feature_22,3.0,969.0,0.0,False
U-e377bf,,2024-11-04,feature_7,8.0,4248.0,0.0,False
U-b39242,S-969f4c,2023-06-22,feature_31,5.0,855.0,0.0,False
U-f67d78,S-d0c344,2023-02-25,feature_12,9.0,5121.0,0.0,False
U-6b41f7,S-e36ccb,2024-09-21,feature_19,8.0,4432.0,0.0,True
U-5c5044,S-425607,2024-10-02,,13.0,1859.0,0.0,False
U-62568a,S-22014f,2023-03-02,feature_17,15.0,1425.0,1.0,False
U-d352f7,,,feature_32,,2900.0,0.0,False
U-7eebdf,S-023f5f,,feature_34,11.0,1287.0,0.0,True
U-b22092,S-d449e1,,feature_24,10.0,5960.0,0.0,False
U-93c6a4,S-66bae1,2024-12-28,feature_13,13.0,195.0,2.0,False
U-0947d6,S-bcbe03,2024-10-04,feature_1,7.0,945.0,0.0,False
U-43761f,,2024-10-11,feature_14,,448.0,1.0,True
U-b01e54,S-455183,2024-12-13,,9.0,,0.0,False
U-3e8544, S-7d2c1b    ,2023-05-14,feature_29,11.0,5654.0,0.0,False
U-6b0253,,2023-05-11,feature_7,12.0,3048.0,2.0,False
U-b4d3c5,S-5d5699,2023-07-18,feature_3,7.0,966.0,0.0,False
U-17b2c9,S-2881e0,,feature_27,11.0,3828.0,0.0,True
U-691b21,S-0de78a,,feature_17,3.0,1230.0,0.0,True
,S-1d63bf,2023-01-03,feature_4,11.0,3927.0,0.0,False
U-d815de,S-6b1de8,2023-08-25,feature_29,15.0,7080.0,0.0,False
U-167026,S-af5ec3,2023-12-31,,,824.0,0.0,False
U-65e223,S-6d4050,2023-08-18,feature_9,9.0,693.0,2.0,False
,S-faa8ec,2024-10-29,feature_11,5.0,480.0,0.0,False
U-780828,S-8fbabd,2024-11-30,feature_5,,1940.0,0.0,False
U-fffbc1,S-51dd23,2024-01-23,feature_39,5.0,230.0,0.0,True
U-37266b,S-b57a5e,2024-08-19,feature_34,19.0,4332.0,1.0,False
U-e65d2a,S-bfc0f8,2023-01-30,feature_17,13.0,,1.0,False
U-f633de,S-7d4d45,2023-10-10,feature_5,9.0,3609.0,4.0,False
U-709d9a,S-e2f1fd,2023-06-16,feature_10,11.0,6446.0,0.0,False
U-25ef2e,s-7b9b62,,feature_8,17.0,7378.0,1.0,False
U-98cfbf,S-10fc7d,2023-01-15,feature_33,13.0,806.0,0.0,False
,S-4d8633,2024-02-20,feature_36,5.0,1910.0,0.0,False
U-55f576,S-0c47cb,2024-02-07,feature_30,10.0,460.0,3.0,False
U-123e83,S-a5d1e3,2023-08-28,feature_26,11.0,1771.0,0.0,False
U-1c4a11,S-7d0dea,2024-08-07,feature_33,9.0,3672.0,0.0,False
U-f9497e,S-b91501,2024-01-06,feature_4,9.0,2835.0,0.0,False
U-eb4a83,S-02d6c8,2023-10-21,feature_17,11.0,3432.0,0.0,False
U-44acf2,S-695c1e,2024-03-27,feature_28,13.0,,1.0,False
U-006569,S-b1d153,2024-12-02,feature_20,9.0,1782.0,0.0,False
U-d91111,S-3ad221,2024-08-04,feature_27,15.0,5355.0,,False
U-15bbd9,S-2923fc,,feature_39,10.0,3900.0,0.0,False
,S-c77f0c,2024-04-09,feature_13,5.0,685.0,1.0,True
U-0f19cd,s-b1c57d,,feature_9,7.0,3143.0,1.0,False
,s-2ba4ee,,feature_19,10.0,1550.0,0.0,False
U-faa910,S-b01b1c,2023-08-10,feature_27,,1305.0,1.0,True
U-260255,S-f28cde,2024-11-01,feature_36,,2331.0,0.0,False
U-bb48d0,S-16b6dc,2024-11-20,feature_10,12.0,1296.0,0.0,False
U-8c1553,S-a916c8,2024-06-09,feature_3,6.0,3306.0,,False
U-384ace,S-a4139f,2024-08-31,feature_40,8.0,840.0,1.0,False
,S-12F05A,2023-06-01,feature_16,11.0,3553.0,,False
U-b24f60,S-7b29d1,2024-11-04,,11.0,6479.0,0.0,False
U-dac1be,S-87ebe6,2023-09-27,feature_15,5.0,1050.0,0.0,False
U-a204d5,S-debbee,2023-12-13,feature_16,11.0,1562.0,0.0,False
U-183ef7,s-d6cffe,2024-04-16,feature_12,11.0,4169.0,1.0,False
U-ac8aef,S-8a9db8,2024-01-09,feature_35,9.0,2214.0,4.0,False
U-0178e0,S-e4ce2c,2023-09-09,feature_17,17.0,3604.0,0.0,False
U-29fb62,S-6b7aa4,2024-12-07,feature_16,10.0,840.0,0.0,False
U-9656e3,S-871e83,2024-12-24,feature_24,7.0,,,False
U-259e01,S-11d922,2024-02-20,feature_2,7.0,2709.0,4.0,True
U-3ab851,S-aad754,,feature_30,15.0,6060.0,1.0,False
,S-f1778c,2024-11-22,feature_18,12.0,6192.0,3.0,False
U-b3b4a4,,2024-04-09,feature_26,6.0,1674.0,0.0,False
U-78de54,S-8b345c,2023-07-24,feature_24,8.0,2000.0,,False
U-dfc2a7,S-90432a,2024-01-15,feature_37,9.0,4392.0,0.0,False
U-83e410,S-704cf3,2024-02-07,feature_25,14.0,7266.0,0.0,False
U-bc9c63,S-46526e,2023-03-07,feature_28,10.0,2180.0,0.0,False
U-f48199,S-9e7060,2023-05-10,feature_6,8.0,1488.0,0.0,False
U-b426f0,S-0144ac,2023-10-20,feature_24,5.0,135.0,0.0,False
U-b484bd,S-6c4770,2024-12-15,feature_1,6.0,3546.0,2.0,False
U-b4d7bc,, 2024-09-25    ,feature_20,12.0,6300.0,1.0,False
U-4a08b4,,2023-12-16,feature_12,9.0,3717.0,0.0,False
U-62e148,S-5450af,2023-05-27,feature_21,7.0,2695.0,5.0,False
U-a77713,S-97bc99,2024-01-26,feature_26,8.0,2512.0,0.0,False
U-42ef12,,,,10.0,2500.0,0.0,False
U-c67e37,S-2372d2,2024-04-09,feature_18,,1296.0,3.0,False
U-2e3df6,S-0638DC,,feature_38,,1638.0,0.0,True
U-48baed,S-0a8acf,2023-07-05,feature_25,7.0,910.0,1.0,False
U-62c766,S-a5d949,2023-02-23,feature_17,7.0,3934.0,3.0,False
U-f1b167,S-d71fe9,,feature_16,,1660.0,1.0,False
,S-628842,2023-04-30,feature_20,19.0,6251.0,2.0,False
U-a12b4a,S-84e146,2023-08-07,feature_4,9.0,4212.0,0.0,False
U-4cf4cb,S-bbc0f7,2024-02-27,feature_15,13.0,6149.0,0.0,False
U-616f37,,2023-04-17,,11.0,385.0,1.0,False
U-99b91c,S-a2cd6a,2024-10-23,feature_8,,4096.0,0.0,False
U-c0295f,S-59778a,2023-12-31,feature_11,7.0,1050.0,0.0,True
U-e19b2e,S-be601b,,feature_24,9.0,5103.0,0.0,False
U-48f986,S-62fa42,2023-04-05,feature_36,7.0,2044.0,0.0,False
U-690821,S-5ddf8d,2023-06-10,feature_14,,4136.0,0.0,False
U-6f9192,S-16a545,2023-06-30,feature_28,3.0,1566.0,1.0,False
U-d2b4ef,,2023-09-23,feature_18,10.0,5150.0,0.0,False
U-8d5b32,S-61a87e,2023-04-26,feature_32,8.0,1624.0,0.0,False
U-068eef,S-834097,,feature_2,12.0,6552.0,0.0,False
U-897937,S-7ba2ad,,feature_10,9.0,2088.0,,False
U-66ad5c,S-e9257d,,feature_29,10.0,1400.0,0.0,False
U-faa335,S-2ebd06,2024-03-16,feature_26,8.0,2688.0,0.0,False
U-931029,S-1bbf0a,,feature_13,8.0,3872.0,0.0,True
U-2722af,S-b3bd43,2023-04-25,feature_18,8.0,544.0,4.0,False
,S-fc1114,2024-10-06,feature_23,10.0,1610.0,,False
U-b7c6c8,S-ee30bb,2024-07-03,feature_5,9.0,270.0,0.0,False
U-049032,S-c26c22,2023-11-30,feature_34,11.0,561.0,0.0,False
U-5686b9,,2023-01-26,feature_10,13.0,6500.0,3.0,False
U-add9aa,S-f2d47e,2023-05-12,feature_5,,3531.0,0.0,False
,S-c6d8ce,2023-11-24,feature_30,5.0,1020.0,0.0,False
U-ed15a8,S-9a8d01,,feature_2,12.0,3756.0,,False
U-88b809,S-d07886,2024-08-10,feature_8,5.0,1135.0,0.0,False
U-0490cc,S-39b5ce,2024-06-25,feature_6,10.0,5110.0,0.0,True
U-6267bd,S-10702d,2023-02-05,feature_13,12.0,1548.0,3.0,False
U-7bffd5,S-cd8a6a,2024-01-23,feature_40,9.0,3231.0,0.0,True
U-4445f3,S-aa7247,,,12.0,6420.0,3.0,False
U-6de5a2,S-de6767,2023-06-30,feature_2,19.0,3705.0,0.0,True
U-0a141e,S-bd2ab2,2024-10-08,feature_32,20.0,5140.0,0.0,False
U-87ca79,s-b8fcc5,2023-05-11,feature_24,13.0,4745.0,0.0,False
,S-022a1e,,feature_10,11.0,,0.0,False
,S-9be237,2024-10-17,feature_29,8.0,1896.0,0.0,False
,S-503afa,2024-06-18,feature_39,7.0,1281.0,0.0,False
U-a76823,S-79a9e1,2023-10-22,feature_24,6.0,2940.0,0.0,False
U-1e39f8,S-a9fb74,2023-12-29,feature_15,10.0,1370.0,2.0,False
U-ab4efe,S-fb95f2,2024-03-09,feature_28,8.0,752.0,1.0,False
U-e3feff,S-510999,2023-12-25,feature_3,6.0,,0.0,False
U-83174b,S-ed2bb5,2023-04-04,feature_4,8.0,4552.0,0.0,False
U-b7dda3,S-3AA11B,,feature_33,6.0,1176.0,0.0,False
U-71aedb,S-6ce794,2024-09-13,feature_32,,1408.0,0.0,True
U-10b0be,S-02984e,2023-06-12,feature_13,11.0,4345.0,0.0,False
U-4bdf83,S-2dad6b,2023-04-12,feature_1,10.0,5080.0,2.0,False
U-84496f,,2023-06-09,feature_26,12.0,1284.0,2.0,False
U-2b76fa,,2024-10-22,feature_36,12.0,2784.0,0.0,False
U-8f850b, S-6f43f7    ,,feature_36,11.0,2112.0,0.0,False
U-5d4e12,S-36ad61,2024-05-19,feature_28,12.0,3276.0,0.0,False
U-dbe096,,2023-09-22,feature_26,9.0,4446.0,2.0,False
U-75e7bd,S-4d2011,2023-11-29,feature_29,11.0,3003.0,1.0,False
U-f2eb07,,2023-05-29,feature_14,10.0,2260.0,0.0,False
U-ed3e27,S-69cc68,2023-05-26,feature_11,9.0,4725.0,,False
,S-c7f564,2024-10-11,feature_7,10.0,3040.0,,False
U-1533e3, S-cc4bf0    ,2023-06-07,feature_23,7.0,4046.0,1.0,True
U-a0c7fb,S-004eb4,2023-06-07,feature_12,8.0,1496.0,1.0,False
U-c1baa6,S-9c06f8,2024-02-19,feature_4,9.0,3519.0,0.0,True
U-9f3718,S-567afa,2024-09-24,feature_22,11.0,2431.0,3.0,False
U-b10afb,S-a2ee32,2024-11-02,feature_4,12.0,4836.0,0.0,False
U-a1cddd,S-7e2e5c,,feature_31,,,2.0,False
,S-39e88c,2024-10-25,feature_8,16.0,8784.0,0.0,False
U-35c6b9,S-3e54f5,2023-10-06,feature_26,9.0,4572.0,0.0,False
U-7db4a5,S-Ee4C5C, 2023-04-18    ,feature_16,5.0,55.0,0.0,True
U-5d6a94,s-86e45a,,feature_21,11.0,2629.0,5.0,False
U-84c980,S-14a685,2023-11-09,feature_8,11.0,6380.0,1.0,False
U-ff8c99,s-164594,,feature_1,14.0,,0.0,False
U-62df4c,S-0e057d,2024-01-30,feature_12,,5810.0,0.0,False
U-d00bfb, S-863c87    ,2024-06-04,feature_19,9.0,3717.0,0.0,False
U-fb4e9a,S-3cae3d,2024-08-07,feature_31,9.0,3411.0,2.0,False
U-8986cb,,2023-03-06,feature_21,12.0,3456.0,0.0,False
U-6d805b,S-51cb35,2023-02-16,feature_24,5.0,1655.0,0.0,False
U-79899d,S-afed2d,2024-08-05,feature_5,11.0,2013.0,0.0,False
,S-175429,2024-01-13,feature_6,14.0,6202.0,0.0,False
U-c3fd6c,S-79123c,2023-03-15,feature_5,19.0,11096.0,1.0,False
U-0ecee2,S-106283,2023-12-04,feature_28,9.0,,1.0,False
U-90ec66,S-C7F564,2024-08-06,feature_6,8.0,4760.0,2.0,False
U-14fdac,S-c22c29,2024-08-29,feature_14,6.0,1998.0,0.0,False
U-163a57,S-2ded06,2024-07-14,feature_32,10.0,3710.0,0.0,False
U-83c8dd, S-404ecd    ,2023-03-03,feature_31,9.0,45.0,0.0,True
U-c09fa9,S-8fcce1,2023-01-19,feature_17,7.0,1239.0,0.0,False
U-f870f2,s-497428,2023-06-12,feature_1,7.0,539.0,,False
U-9959d2,S-c7e38a,2023-04-09,feature_9,8.0,768.0,0.0,False
U-7cccec,S-21f8b3,2023-11-11,feature_5,2.0,422.0,0.0,False
U-e7e6cf,S-b3f236,2023-09-07,feature_28,11.0,4598.0,0.0,False
U-2782df,,2024-06-28,feature_37,7.0,3283.0,0.0,False
U-0be9f7,S-9ce22d,2023-02-07,feature_37,14.0,,2.0,False
U-0b97fe,S-a2fb62,2023-08-09,feature_5,8.0,1384.0,1.0,False
U-abbb90,S-01fa46,2024-05-17,feature_31,10.0,,,False
U-daefd3,S-39bb68,2024-09-08,feature_12,8.0,1120.0,0.0,False
U-eebe0e,,2024-10-29,,16.0,528.0,0.0,False
U-658266,S-5281ee,2023-12-14,feature_37,,3836.0,0.0,False
