subscription_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,billing_frequency,account_id,auto_renew_flag,churn_flag,downgrade_flag,is_trial,upgrade_flag
S-8cec59,2023-12-23,2024-04-12,Enterprise,14.0,2786.0,33432.0,monthly,A-3c1a3f,True,True,False,False,False
S-0f6f44,2024-06-11,,Pro,17.0,833.0,9996.0,monthly,A-9b9fe9,True,False,False,False,False
S-51c0d1,2024-11-25,,Enterprise,62.0,0.0,0.0,annual,A-659280,False,False,False,True,True
S-f81687,2024-11-23,2024-12-13,Enterprise,5.0,995.0,11940.0,monthly,A-e7a1e2,True,True,False,False,False
S-cff5a2,2024-01-10,,,27.0,5373.0,64476.0,monthly,A-ba6516,True,False,False,False,False
S-4b9b13,2024-08-13,, Pro    ,15.0,735.0,8820.0,monthly,A-fa2041,True,False,False,False,False
S-dceac6,2023-12-30,,Enterprise,,796.0,9552.0,annual,A-417d2f,True,False,False,False,False
S-8cad7b,,,,16.0,304.0,3648.0,annual,A-5f2961,True,False,False,False,False
S-24796e,2024-11-27,,Enterprise,23.0,4577.0,54924.0,annual,A-cc8c8f,False,False,False,False,False
S-d0c344,2024-10-27,,Pro,22.0,1078.0,12936.0,annual,A-80eeb6,False,False,False,False,False
S-477506,2024-02-06,,Pro,27.0,1323.0,15876.0,annual,A-f03140,True,False,False,False,False
,2024-12-25,,Enterprise,22.0,0.0,0.0,annual,A-3a5ad8,True,False,False,True,False
S-59dc4b,2023-09-17,,Pro,26.0,1274.0,15288.0,monthly,A-f17767,True,False,True,False,True
S-7acd8b,2024-07-17,,Basic,39.0,741.0,,annual,A-7920cc,True,False,False,False,False
S-428e9a,2024-10-12,,Enterprise,88.0,0.0,0.0,monthly,A-8ae3fc,True,False,False,True,False
S-486088,2024-09-18,,Pro,45.0,2205.0,26460.0,monthly,A-0cc442,True,False,False,False,False
S-13939b,2023-07-21,,Pro,34.0,0.0,0.0,monthly,A-86902e,True,True,False,True,False
,2024-06-06,,Basic,8.0,152.0,1824.0,annual,A-ef84cf,False,True,False,False,False
S-37e3ad,2024-04-25,,Basic,5.0,95.0,1140.0,monthly,A-b30291,True,False,False,False,False
S-b17d04,2024-03-06,,Pro,8.0,392.0,4704.0,monthly,A-e19ff6,True,False,False,False,False
S-c27134,2024-03-31,,Pro,21.0,0.0,0.0,monthly,A-dec005,True,False,False,True,False
S-3bd427,2024-12-04,,Basic,61.0,1159.0,13908.0,monthly,A-2e3bad,True,True,False,False,False
S-82989b,2024-11-30,,Basic,31.0,589.0,7068.0,monthly,A-f5641b,True,False,False,False,False
S-082b15,2024-02-09,,Enterprise,97.0,19303.0,231636.0,annual,A-aa9511,True,False,False,False,False
S-434140,2024-02-25,,Pro,17.0,833.0,9996.0,annual,A-075038,True,False,False,False,False
S-c07ede,2024-10-07,,Pro,8.0,392.0,4704.0,annual,A-cea1f0,False,False,False,False,False
S-287914,2024-08-15,,Pro,16.0,784.0,9408.0,annual,A-a1b80b,True,False,False,False,False
,2024-11-03,,Pro,50.0,2450.0,29400.0,monthly,A-b2225d,False,False,False,False,False
S-4c82da,2024-08-01,,Pro,11.0,539.0,6468.0,monthly,A-b9eed8,False,False,False,False,False
S-c75159,2024-08-22,2024-09-28,Enterprise,31.0,6169.0,74028.0,monthly,A-bcf87c,True,True,False,False,False
S-b5643b,2024-06-11,,Enterprise,,,66864.0,annual,A-9f9299,False,False,False,False,False
S-49a9aa,2023-06-16,,Basic,51.0,969.0,11628.0,annual,A-10b8f2,True,False,False,False,False
S-2877e6,2024-06-28,,Enterprise,38.0,0.0,0.0,monthly,A-95b24a,True,False,True,True,True
S-8c10c1,2024-12-25,,Enterprise,65.0,12935.0,155220.0,annual,A-0651a4,True,False,False,False,False
,2024-12-28,,Enterprise,29.0,0.0,0.0,annual,A-fb186e,True,False,False,True,False
S-ddad91,2024-06-21,,Enterprise,92.0,0.0,0.0,annual,A-40906c,False,False,False,True,False
S-6762fa,2024-02-12,,Enterprise,16.0,3184.0,38208.0,annual,A-40a557,True,False,False,False,False
S-bb1cf1,2024-09-07,,Enterprise,9.0,0.0,,monthly,A-3a5ad8,False,False,False,True,True
S-a805a5,2024-09-18,,Basic,33.0,627.0,7524.0,,A-2789e3,True,False,False,False,False
,2023-05-11,,Pro,6.0,294.0,3528.0,monthly,A-49b828,True,False,False,False,False
S-59c5d7,2024-10-19,,Basic,35.0,,7980.0,monthly,A-c16b88,True,False,False,False,True
S-d3faae,2024-11-12,,Basic,19.0,361.0,4332.0,monthly,A-5c9849,True,False,False,False,False
S-73a4e4,2024-09-09,,Pro,31.0,1519.0,,monthly,A-993085,True,False,False,False,False
,2024-12-22,,Enterprise,41.0,8159.0,97908.0,annual,A-e4144b,True,False,False,False,False
S-99fbf7,,,,12.0,2388.0,28656.0,annual,A-7dacce,True,False,False,False,False
S-e97b9f,,,Enterprise,12.0,2388.0,28656.0,annual,A-a0ca4e,True,False,False,False,False
S-763d33,2024-07-25,,Basic,23.0,437.0,5244.0,annual,A-ef84cf,False,False,True,False,False
