,ticket_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag,account_id
0,T-0024de,2023-07-27,2023-07-28 03:00:00,27.0,high,74.0,,False,
1,T-4d04b9,2024-07-08,2024-07-09 03:00:00,27.0,urgent,144.0,,,
2,T-d5e12f,2024-10-17,2024-10-17 19:00:00,19.0,urgent,93.0,4.0,False,
3,T-dfce9a,2024-09-08,2024-09-09 23:00:00,47.0,medium,126.0,5.0,False,
4,T-c59f77,2024-11-30,2024-12-01 02:00:00,26.0,medium,8.0,,False,
5,T-90F06D,2023-07-27,,9.0,MEDIUM,,,False,
6,T-30b537,2023-09-09,2023-09-10 03:00:00,27.0,urgent,64.0,3.0,False,
7,T-60242D,2024-01-29,2024-01-29 12:00:00,12.0, low    ,56.0,4.0,True,
8,T-7119c9,2023-08-27,2023-08-27 16:00:00,16.0,urgent,154.0,,False,
9,T-b0edf2,2024-05-06,2024-05-07 04:00:00,28.0,medium,150.0,3.0,False,
10,T-98a84a,2023-12-20,2023-12-21 18:00:00,,low,26.0,,False,
11,T-04457d,2024-07-18,2024-07-20 00:00:00,48.0,medium,140.0,5.0,False,
12,T-6bd715,2024-05-14,2024-05-16 02:00:00,50.0,medium,129.0,,False,
13,T-13F1B8,2023-12-05,2023-12-06 02:00:00,26.0,low,121.0,5.0,False,
14,T-a3288b,2024-12-28,2024-12-30 07:00:00,55.0,low,26.0,3.0,False,
15,T-f8e2c3,2024-03-01,2024-03-03 21:00:00,69.0,,60.0,,False,
16,T-4e7816,2024-10-03,,36.0,low,108.0,,False,
17,T-0dea8b,2024-01-24,2024-01-26 12:00:00,60.0,medium,,3.0,False,
18,T-ca96ba,2024-04-28,2024-04-28 03:00:00,3.0,high,64.0,,False,
19, T-ac0b69    ,2024-03-02,2024-03-02 14:00:00,14.0,,,,False,
20,T-0f1c67,2024-10-09,2024-10-11 00:00:00,48.0,low,51.0,4.0,,
21,T-4fb3f2,2023-03-05,2023-03-07 11:00:00,59.0,medium,136.0,3.0,False,
22,T-2b4423,2023-12-07,2023-12-07 11:00:00,11.0,high,99.0,,False,
23,T-b17401,2024-02-21,2024-02-21 12:00:00,12.0,high,,3.0,False,
24,T-462ece,2023-07-17,2023-07-19 03:00:00,51.0,low,50.0,3.0,True,
25,T-066714,2024-04-11,2024-04-12 00:00:00,24.0,high,52.0,3.0,False,
26,T-8c694d,2024-05-24,2024-05-24 15:00:00,15.0,low,39.0,3.0,True,
27,T-804c6c,,2024-10-30 04:00:00,176.0,medium,88.0,7.0,False,
28,T-64b0b8,2023-09-27,2023-09-29 08:00:00,56.0,low,16.0,5.0,False,
29,T-bfa749,2023-08-04,2023-08-04 01:00:00,1.0,low,137.0,5.0,False,
30,t-3b24c1,2024-06-09,2024-06-11 06:00:00,54.0,,151.0,3.0,False,
31,T-68c8a6,2024-09-23,2024-09-23 19:00:00,19.0,high,34.0,,False,
32,T-bbe374,2024-01-15,2024-01-17 02:00:00,50.0,low,155.0,,False,
33,,2024-11-29,2024-12-01 22:00:00,70.0,,67.0,3.0,False,
34,T-98448a,2024-02-10,2024-02-10 18:00:00,18.0,high,99.0,4.0,False,
35,T-f68dde,2024-09-08,2024-09-08 14:00:00,14.0,medium,1.0,4.0,False,
36,T-5f84c5,,2024-01-24 14:00:00,62.0,high,28.0,4.0,False,
37,T-9bae5a,2024-04-14,2024-04-14 23:00:00,23.0,urgent,176.0,5.0,,
38,T-22842d,2024-08-05,2024-08-05 08:00:00,8.0,high,66.0,3.0,False,
39,T-f8b58d,2023-01-16,2023-01-18 09:00:00,57.0,urgent,144.0,,False,
40,T-3a2a66,2023-09-15,2023-09-17 18:00:00,66.0,low,150.0,,False,
41,T-490c4a,2023-08-08,2023-08-08 09:00:00,9.0,urgent,179.0,,False,
42,T-6cce32,2024-06-12,2024-06-12 06:00:00,6.0,medium,176.0,4.0,False,
43,T-ec46f5,2023-04-19,2023-04-21 07:00:00,55.0,high,93.0,,False,
44,T-219077,2024-02-09,2024-02-10 18:00:00,42.0,medium,,,False,
45,T-6b6fb7,2024-02-11,2024-02-11 04:00:00,4.0,medium,119.0,3.0,False,
46,T-2e5ba4,2024-12-05,2024-12-05 14:00:00,14.0,low,46.0,4.0,True,
47,T-8001a4,2023-05-08,2023-05-08 11:00:00,11.0,urgent,53.0,4.0,True,
48,T-a1d9dd,2024-04-27,2024-04-29 16:00:00,64.0,urgent,21.0,3.0,False,
49,T-121d6f,2024-09-17,2024-09-17 17:00:00,17.0,low,132.0,4.0,True,
50,T-fd1ba2,2023-12-15,2023-12-16 16:00:00,40.0,high,158.0,4.0,False,
51,T-b6d7ac,2023-10-29,2023-10-29 11:00:00,11.0,low,12.0,5.0,True,
52,,2024-01-19,2024-01-20 12:00:00,36.0, medium    ,138.0,5.0,True,
53,T-61fc87,2023-01-13,2023-01-15 17:00:00,65.0,medium,127.0,3.0,False,
54,T-00fa83,2023-04-01,,70.0,low,,,False,
