ticket_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,account_id,escalation_flag
T-0024de,,2023-07-28 03:00:00,27.0,high,74.0,,,
T-4d04b9,2024-07-08,2024-07-09 03:00:00,27.0,urgent,144.0,,,
t-d5e12f,2024-10-17,,19.0,urgent,93.0,4.0,,
T-dfce9a,2024-09-08,2024-09-09 23:00:00,47.0,medium,126.0,5.0,,
T-c59f77,2024-11-30,2024-12-01 02:00:00,26.0,medium,8.0,,,
T-90f06d,,,9.0,medium,60.0,,,
T-30b537,2023-09-09,2023-09-10 03:00:00,27.0,urgent,64.0,3.0,,
 T-60242d    ,2024-01-29,2024-01-29 12:00:00,12.0,low,56.0,4.0,,
T-7119c9,2023-08-27,2023-08-27 16:00:00,16.0,urgent,154.0,,,
T-b0edf2,2024-05-06,2024-05-07 04:00:00,28.0,medium,150.0,3.0,,
T-98a84a,2023-12-20,,42.0,low,26.0,,,
T-04457d,2024-07-18,2024-07-20 00:00:00,48.0,medium,140.0,5.0,,
,2024-05-14,2024-05-16 02:00:00,50.0,,129.0,,,
,2023-12-05,2023-12-06 02:00:00,26.0,low,121.0,5.0,,
T-A3288B,2024-12-28,,55.0,low,,3.0,,
T-f8e2c3,2024-03-01,2024-03-03 21:00:00,69.0,high,60.0,,,
T-4e7816,2024-10-03,2024-10-04 12:00:00,36.0,low,108.0,,,
T-0dea8b,2024-01-24,2024-01-26 12:00:00,60.0,medium,45.0,3.0,,
T-ca96ba,2024-04-28,,3.0,high,64.0,,,
T-ac0b69,2024-03-02,2024-03-02 14:00:00,14.0,low,86.0,,,
T-0f1c67,2024-10-09,2024-10-11 00:00:00,48.0,low,51.0,,,
T-4fb3f2,2023-03-05,,59.0,medium,136.0,3.0,,
T-2b4423,2023-12-07,2023-12-07 11:00:00,11.0,high,99.0,,,
T-b17401,2024-02-21,2024-02-21 12:00:00,12.0,high,171.0,,,
T-462ECE,2023-07-17,2023-07-19 03:00:00,51.0,low,50.0,3.0,,
T-066714,,2024-04-12 00:00:00,24.0,high,52.0,3.0,,
T-8c694d,,2024-05-24 15:00:00,15.0,low,39.0,3.0,,
T-804c6c,2024-10-29,2024-10-30 04:00:00,28.0,medium,,4.0,,
T-64B0B8,2023-09-27,2023-09-29 08:00:00,56.0,low,16.0,5.0,,
T-bfa749,,2023-08-04 01:00:00,1.0,low,137.0,,,
T-3b24c1,,2024-06-11 06:00:00,54.0,high,151.0,3.0,,
T-68c8a6,2024-09-23,,,,34.0,,,
T-bbe374,2024-01-15,2024-01-17 02:00:00,50.0,low,155.0,,,
T-bccf63,2024-11-29,,70.0,high,67.0,3.0,,
T-98448a,2024-02-10,2024-02-10 18:00:00,18.0,high,99.0,4.0,,
,2024-09-08,2024-09-08 14:00:00,,medium,1.0,4.0,,
T-5f84c5,2024-01-22,2024-01-24 14:00:00,62.0,high,28.0,4.0,,
T-9bae5a,2024-04-14,2024-04-14 23:00:00,23.0,urgent,176.0,5.0,,
T-22842d,2024-08-05,2024-08-05 08:00:00,8.0,high,66.0,3.0,,
T-f8b58d,2023-01-16,2023-01-18 09:00:00,57.0,urgent,144.0,,,
T-3a2a66,2023-09-15,2023-09-17 18:00:00,66.0,low,,,,
T-490c4a,2023-08-08,2023-08-08 09:00:00,9.0,urgent,,,,
T-6CCE32,2024-06-12, 2024-06-12 06:00:00    ,6.0,medium,176.0,4.0,,
T-ec46f5,2023-04-19,2023-04-21 07:00:00,55.0,high,93.0,,,
T-219077,2024-02-09,2024-02-10 18:00:00,42.0,,58.0,,,
